,Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
0,815893,2009,1,,,,,,,,,,,,,,,,,,
1,792928,2009,1,0.25,0.0694444444444,0.15,0.0305555555556,0.74358974359,0.195681511471,0.6625,0.226424050633,0.575,0.250641025641,0.333333333333,0.25,0.666666666667,0.25,0.406976744186,0.244186046512,0.774774774775,0.176085176085
2,662719,2009,0,,,,,,,,,,,,,,,,,,
3,610461,2009,1,0.725,0.0479166666667,0.775,0.0618055555556,0.974358974359,0.025641025641,0.9125,0.0808544303797,0.85,0.130769230769,0.666666666667,0.25,0.888888888889,0.111111111111,0.488372093023,0.252804377565,0.675675675676,0.22113022113
4,624003,2009,1,0.575,0.0840277777778,0.5,0.0972222222222,0.948717948718,0.0499325236167,0.9125,0.0808544303797,0.7,0.215384615385,0.888888888889,0.111111111111,0.777777777778,0.194444444444,0.627906976744,0.236388508892,0.693693693694,0.214414414414
5,140239,2009,1,,,,,,,,,,,,,,,,,,
6,810692,2009,1,0.675,0.0840277777778,0.625,0.0868055555556,0.974358974359,0.025641025641,0.925,0.070253164557,0.9,0.0923076923077,1.0,0.0,1.0,0.0,0.372093023256,0.236388508892,0.792792792793,0.165765765766
7,412308,2009,1,0.6,0.0861111111111,0.525,0.0618055555556,0.948717948718,0.0499325236167,0.9375,0.059335443038,0.725,0.204487179487,0.777777777778,0.194444444444,0.888888888889,0.111111111111,0.627906976744,0.236388508892,0.747747747748,0.190335790336
8,778510,2009,1,0.75,0.0416666666667,0.75,0.0416666666667,1.0,0.0,0.9375,0.059335443038,0.675,0.225,1.0,0.0,1.0,0.0,0.581395348837,0.246238030096,0.810810810811,0.154791154791
9,892629,2009,1,,,,,,,,,,,,,,,,,,
10,695582,2009,1,,,,,,,,,,,,,,,,,,
11,959014,2009,1,0.65,0.113888888889,0.625,0.114583333333,0.974358974359,0.025641025641,0.9125,0.0808544303797,0.8,0.164102564103,0.555555555556,0.277777777778,0.888888888889,0.111111111111,0.418604651163,0.246238030096,0.774774774775,0.176085176085
12,875625,2009,1,0.8,0.025,0.775,0.0340277777778,0.974358974359,0.025641025641,0.9375,0.059335443038,0.825,0.148076923077,0.222222222222,0.194444444444,0.888888888889,0.111111111111,0.581395348837,0.246238030096,0.756756756757,0.185749385749
13,849693,2009,1,0.7,0.0388888888889,0.7,0.0388888888889,0.974358974359,0.025641025641,0.9875,0.0125,0.825,0.148076923077,1.0,0.0,1.0,0.0,0.558139534884,0.24952120383,0.765765765766,0.180999180999
14,206688,2009,1,0.75,0.0416666666667,0.75,0.0555555555556,0.974358974359,0.025641025641,0.9125,0.0808544303797,0.85,0.130769230769,0.777777777778,0.194444444444,1.0,0.0,0.593023255814,0.244186046512,0.747747747748,0.190335790336
15,337006,2009,1,0.525,0.0340277777778,0.5,0.0277777777778,1.0,0.0,0.775,0.176582278481,0.675,0.225,0.888888888889,0.111111111111,1.0,0.0,0.383720930233,0.23926128591,0.675675675676,0.22113022113
16,824260,2009,1,,,,,,,,,,,,,,,,,,
17,387416,2009,1,,,,,,,,,,,,,,,,,,
18,135514,2009,1,0.425,0.0423611111111,0.45,0.0388888888889,0.820512820513,0.151147098516,0.8,0.162025316456,0.8,0.164102564103,0.0,0.0,0.888888888889,0.111111111111,0.279069767442,0.203556771546,0.567567567568,0.247665847666
19,730671,2009,1,0.625,0.0868055555556,0.65,0.0583333333333,0.948717948718,0.0499325236167,0.95,0.0481012658228,0.825,0.148076923077,1.0,0.0,0.888888888889,0.111111111111,0.767441860465,0.180574555404,0.738738738739,0.194758394758
20,242417,2009,1,0.675,0.0701388888889,0.675,0.0701388888889,1.0,0.0,0.95,0.0481012658228,0.85,0.130769230769,0.666666666667,0.25,1.0,0.0,0.5,0.252941176471,0.657657657658,0.227190827191
21,412482,2009,1,0.9,0.0305555555556,0.85,0.0583333333333,1.0,0.0,0.975,0.0246835443038,0.9,0.0923076923077,0.555555555556,0.277777777778,1.0,0.0,0.593023255814,0.244186046512,0.756756756757,0.185749385749
22,227456,2009,1,0.55,0.0666666666667,0.575,0.0701388888889,0.948717948718,0.0499325236167,0.9375,0.059335443038,0.85,0.130769230769,0.333333333333,0.25,0.777777777778,0.194444444444,0.360465116279,0.233242134063,0.675675675676,0.22113022113
23,985811,2009,1,,,,,,,,,,,,,,,,,,
24,657105,2009,1,,,,,,,,,,,,,,,,,,
25,280675,2009,1,0.575,0.0701388888889,0.525,0.0895833333333,0.948717948718,0.0499325236167,0.8875,0.101107594937,0.85,0.130769230769,1.0,0.0,1.0,0.0,0.441860465116,0.24952120383,0.756756756757,0.185749385749
26,570738,2009,1,,,,,,,,,,,,,,,,,,
27,214337,2009,1,0.675,0.0840277777778,0.675,0.05625,0.974358974359,0.025641025641,0.9625,0.0365506329114,0.825,0.148076923077,0.444444444444,0.277777777778,0.888888888889,0.111111111111,0.53488372093,0.25170998632,0.765765765766,0.180999180999
28,957233,2009,1,0.5,0.0555555555556,0.425,0.0423611111111,0.974358974359,0.025641025641,0.7875,0.169462025316,0.725,0.204487179487,0.444444444444,0.277777777778,0.888888888889,0.111111111111,0.418604651163,0.246238030096,0.72972972973,0.199017199017
