,Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
0,521771,2010,1,,,,,,,,,,,,,,,,,,
1,139291,2010,1,0.8625,0.0228618421053,0.85,0.0166666666667,0.790581395349,0.0764690697674,0.724,0.100180869565,0.738833333333,0.102542683616,0.875,0.125,0.75,0.214285714286,0.44262295082,0.250819672131,0.798319327731,0.162370032759
2,813543,2010,1,0.7875,0.0149671052632,0.775,0.0201388888889,0.776279069767,0.0508565800274,0.72,0.0635304347826,0.751,0.0852396610169,0.75,0.214285714286,1.0,0.0,0.622950819672,0.238797814208,0.789915966387,0.167355077624
3,816724,2010,1,0.5125,0.0689144736842,0.5,0.0555555555556,0.62011627907,0.105683515732,0.557,0.112540144928,0.5495,0.12807940678,0.75,0.214285714286,0.625,0.267857142857,0.524590163934,0.253551912568,0.672268907563,0.222190571144
4,101459,2010,1,0.575,0.0993421052632,0.5,0.0833333333333,0.666627906977,0.107796730506,0.643285714286,0.114233975155,0.605666666667,0.145448700565,1.0,0.0,1.0,0.0,0.540983606557,0.252459016393,0.647058823529,0.230309072782
5,191309,2010,1,0.65,0.0157894736842,0.575,0.0423611111111,0.721860465116,0.062676497948,0.657142857143,0.10680621118,0.678333333333,0.101976836158,0.5,0.285714285714,0.625,0.267857142857,0.508196721311,0.254098360656,0.831932773109,0.141005554764
6,714149,2010,1,0.6875,0.0320723684211,0.675,0.0423611111111,0.717441860465,0.0698427906977,0.663,0.0824734782609,0.684,0.0923938983051,0.75,0.214285714286,1.0,0.0,0.55737704918,0.250819672131,0.764705882353,0.181455633101
7,266577,2010,1,0.8125,0.0452302631579,0.775,0.0618055555556,0.752209302326,0.0767327086183,0.719571428571,0.0925606832298,0.7115,0.10007059322,0.625,0.267857142857,0.625,0.267857142857,0.475409836066,0.253551912568,0.689075630252,0.216066087452
8,496168,2010,1,0.6875,0.0452302631579,0.625,0.0451388888889,0.701976744186,0.0842089876881,0.538571428571,0.136757349896,0.628,0.0951722033898,1.0,0.0,0.75,0.214285714286,0.688524590164,0.218032786885,0.781512605042,0.172197692636
9,286736,2010,1,0.7875,0.0347039473684,0.775,0.0340277777778,0.795581395349,0.0552955403557,0.705285714286,0.0987180331263,0.778833333333,0.0590003107345,0.875,0.125,1.0,0.0,0.459016393443,0.252459016393,0.754237288136,0.186947703897
