,Student,Year,Result,PersonSatisf_Mean,PersonSatisf_Variance,RecSatisf_Mean,RecSatisf_Variance,PPI_Init_Mean,PPI_Init_Variance,PPI_Infor_Mean,PPI_Infor_Variance,PPI_Close_Mean,PPI_Close_Variance,PE_Hand_Mean,PE_Hand_Variance,PE_Mod_Mean,PE_Mod_Variance,PE_Check_Mean,PE_Check_Variance,Hx_Mean,Hx_Variance
73,641163,2008.0,1,0.45,0.038888888999999996,0.41944444399999997,0.027854938,0.8,0.164102564,0.830985915,0.142454728,0.48387096799999996,0.258064516,0.5555555560000001,0.27777777800000003,0.7777777779999999,0.194444444,0.386363636,0.239811912,0.727272727,0.200166806
93,590401,2008.0,1,0.675,0.08402777800000001,0.669444444,0.08649691400000001,1.0,0.0,0.943661972,0.053923541,0.806451613,0.161290323,0.7777777779999999,0.194444444,1.0,0.0,0.454545455,0.25078369899999997,0.809090909,0.1558799
501,320534,2013.0,1,0.425,0.12875,0.575,0.113125,0.912,0.010176000000000001,0.82,0.051436735,0.794761905,0.029979365,0.875,0.03125,0.5,0.25,0.365168651,0.023865245,0.62171221,0.064628088
197,506571,2010.0,1,0.7625,0.029440789,0.725,0.034027778,0.71,0.07306117599999999,0.6048571429999999,0.120703602,0.6779999999999999,0.102097627,0.75,0.214285714,0.75,0.214285714,0.44262295100000004,0.250819672,0.8067226890000001,0.157242558
119,257079,2009.0,1,0.775,0.075694444,0.725,0.075694444,0.974358974,0.025641026,0.925,0.070253165,0.8,0.164102564,0.8888888890000001,0.111111111,1.0,0.0,0.511627907,0.252804378,0.846846847,0.13087633099999998
494,333660,2014.0,1,0.8375,0.05015625,0.9,0.015,0.9540000000000001,0.007364,0.934285714,0.007355102,0.90952381,0.015387755,0.96875,0.006835938000000001,0.75,0.1875,0.712619048,0.03291627,0.751632845,0.058568782
69,922340,2008.0,1,0.6,0.030555556,0.5694444439999999,0.043595679000000005,0.95,0.048717949,0.887323944,0.101408451,0.7419354840000001,0.197849462,1.0,0.0,0.8888888890000001,0.111111111,0.647727273,0.230799373,0.790909091,0.166889074
625,500673,2014.0,1,0.8125,0.03203125,0.825,0.025625,0.9309999999999999,0.013088999999999998,0.9057142859999999,0.024334694,0.931428571,0.0144,0.90625,0.014648438,0.5,0.25,0.529017857,0.06391225099999999,0.7752836390000001,0.031204982000000003
633,668951,2014.0,1,0.7375,0.10765625,0.725,0.105625,0.909,0.035408999999999996,0.8714285709999999,0.025020407999999997,0.846666667,0.024502494,0.53125,0.08496093800000001,0.6875,0.18359375,0.6026041670000001,0.040333399,0.726706105,0.079712912
333,195286,2011.0,1,0.7875,0.034703947,0.725,0.047916667,0.880232558,0.054639945,0.776285714,0.086461366,0.8281666670000001,0.073516921,0.75,0.214285714,1.0,0.0,0.721311475,0.204371585,0.847457627,0.130378096
507,154688,2013.0,1,0.775,0.05875,0.825,0.038125,0.992,0.000576,0.965714286,0.002579592,0.8990476190000001,0.016965078999999997,0.625,0.078125,0.625,0.234375,0.733521825,0.02312591,0.859087057,0.024403035
542,255531,2013.0,1,0.9,0.018125,0.875,0.028125,0.94,0.014159999999999999,0.917142857,0.013134693999999999,0.822380952,0.030739456000000002,0.28125,0.006835938000000001,1.0,0.0,0.66360119,0.037144153,0.772817216,0.018234703
370,728713,2012.0,1,0.7125,0.03453125,0.6,0.0275,0.8311111109999999,0.028069136,0.7314285709999999,0.036930612,0.793333333,0.031511111,0.25,0.1875,0.6875,0.18359375,0.58266369,0.05218745,0.726996337,0.084210014
279,691598,2011.0,1,0.825,0.040131579,0.75,0.041666667000000004,0.822093023,0.080346156,0.7759999999999999,0.112256232,0.727166667,0.138051158,1.0,0.0,0.625,0.267857143,0.557377049,0.250819672,0.711864407,0.20686658
295,347303,2011.0,1,0.575,0.073026316,0.475,0.075694444,0.697209302,0.109545062,0.7667142859999999,0.08852962699999999,0.688666667,0.143089718,1.0,0.0,0.5,0.28571428600000004,0.524590164,0.253551913,0.8050847459999999,0.15826452300000002
562,683016,2013.0,1,0.8625,0.02328125,0.85,0.0275,0.9640000000000001,0.0052640000000000004,0.9514285709999999,0.003110204,0.903333333,0.01164195,0.84375,0.014648438,0.875,0.109375,0.659077381,0.084331752,0.818305617,0.013037796
384,898941,2012.0,1,0.6875,0.04453125,0.625,0.040625,0.849777778,0.023900444,0.771428571,0.033142857000000005,0.736666667,0.039211111,0.875,0.109375,0.8125,0.12109375,0.42658730200000006,0.055430052,0.753736264,0.035941101
587,402359,2014.0,1,0.8375,0.02515625,0.875,0.028125,0.9440000000000001,0.008064,0.9257142859999999,0.008522449,0.925238095,0.010929932,0.75,0.03125,0.625,0.234375,0.598065476,0.065443572,0.777182295,0.015838636
172,139291,2010.0,1,0.8625,0.022861842,0.85,0.016666667,0.790581395,0.07646907,0.7240000000000001,0.10018087,0.738833333,0.10254268400000001,0.875,0.125,0.75,0.214285714,0.44262295100000004,0.250819672,0.7983193279999999,0.162370033
372,821576,2012.0,1,0.6125,0.05453125,0.575,0.050625,0.78,0.031550617,0.7228571429999999,0.041804082,0.76,0.0444,0.125,0.109375,0.6875,0.18359375,0.5069444439999999,0.046613087000000004,0.7071550670000001,0.043512715
424,165250,2012.0,1,0.6375,0.02953125,0.575,0.038125,0.807555556,0.022913778,0.76,0.029746939,0.8,0.028222222,0.375,0.234375,0.3125,0.18359375,0.370734127,0.082968228,0.709133089,0.07510733
409,343881,2012.0,1,0.5625,0.06015625,0.475,0.080625,0.7284444440000001,0.04373116,0.671428571,0.067795918,0.686666667,0.034266667,0.625,0.234375,0.5,0.25,0.6525545629999999,0.026357212,0.7635775340000001,0.05177827
133,446139,2009.0,1,0.7,0.066666667,0.675,0.05625,1.0,0.0,0.9875,0.0125,0.8,0.164102564,0.8888888890000001,0.111111111,1.0,0.0,0.430232558,0.24801641600000002,0.756756757,0.18574938600000002
394,845502,2012.0,1,0.5375,0.08765625,0.525,0.093125,0.789333333,0.044915357999999996,0.774285714,0.048073469,0.683333333,0.073833333,0.5,0.25,0.375,0.234375,0.44593254,0.081680908,0.711611722,0.039365164
402,387648,2012.0,1,0.7625,0.04515625,0.775,0.043125,0.8631111109999999,0.014533531,0.82,0.024661224,0.726666667,0.08773333300000001,0.875,0.109375,0.875,0.109375,0.801636905,0.037374198,0.822075702,0.014869546
392,382759,2012.0,1,0.6375,0.02015625,0.575,0.038125,0.8240000000000001,0.018102518999999997,0.7457142859999999,0.040236735,0.736666667,0.025655556,0.875,0.109375,0.8125,0.12109375,0.5149553570000001,0.042859573,0.702478632,0.045043063
52,451784,2008.0,1,0.75,0.083333333,0.7222222220000001,0.078703704,0.975,0.025,0.9014084509999999,0.090140845,0.677419355,0.225806452,0.8888888890000001,0.111111111,0.8888888890000001,0.111111111,0.318181818,0.219435737,0.736363636,0.195913261
266,303625,2011.0,1,0.725,0.091447368,0.625,0.128472222,0.825232558,0.080891122,0.818857143,0.099210269,0.760833333,0.128838277,0.75,0.214285714,0.875,0.125,0.639344262,0.23442623,0.737288136,0.19534984800000002
595,938774,2014.0,1,0.7875,0.02828125,0.775,0.043125,0.863,0.017800999999999997,0.8971428570000001,0.014726531000000001,0.8685714290000001,0.025415873,0.625,0.09375,0.875,0.109375,0.621130952,0.048597205,0.688748474,0.021858425
674,412478,2014.0,1,0.8375,0.01890625,0.825,0.025625,0.9790000000000001,0.0010890000000000001,0.9285714290000001,0.004612245,0.9071428570000001,0.014518141000000002,0.5625,0.04296875,0.6875,0.18359375,0.467485119,0.029063823,0.7583727720000001,0.041556798
423,830164,2012.0,1,0.4875,0.07328125,0.375,0.078125,0.7559999999999999,0.02971042,0.7657142859999999,0.04404898,0.7,0.063555556,0.75,0.1875,1.0,0.0,0.500074405,0.060726725,0.689450549,0.06580356400000001
275,373136,2011.0,1,0.7125,0.028125,0.6,0.030555556,0.779534884,0.064632722,0.748,0.075871304,0.8061666670000001,0.08021387,1.0,0.0,1.0,0.0,0.655737705,0.229508197,0.847457627,0.130378096
60,972065,2008.0,1,0.625,0.059027777999999996,0.619444444,0.06087963,0.95,0.048717949,0.915492958,0.078470825,0.64516129,0.23655914,0.8888888890000001,0.111111111,0.5555555560000001,0.27777777800000003,0.545454545,0.25078369899999997,0.854545455,0.125437865
261,935954,2011.0,1,0.7375,0.029440789,0.7,0.025,0.8651162790000001,0.04522998599999999,0.7955714290000001,0.065659814,0.800333333,0.08006429400000001,0.875,0.125,1.0,0.0,0.672131148,0.224043716,0.7711864409999999,0.177966102
382,850384,2012.0,1,0.7875,0.03765625,0.75,0.0375,0.856,0.020164741,0.7857142859999999,0.046897959,0.83,0.029211111,1.0,0.0,1.0,0.0,0.620262897,0.050683524,0.854774115,0.010897368999999999
462,483926,2012.0,1,0.725,0.0275,0.725,0.030625,0.8008888890000001,0.01792316,0.7485714290000001,0.03082449,0.73,0.044766667,0.875,0.109375,0.75,0.1875,0.5841517860000001,0.017041254,0.7606471309999999,0.047960162
0,865413,2008.0,1,0.725,0.061805556,0.672222222,0.058950617000000004,0.925,0.07115384599999999,0.915492958,0.078470825,0.806451613,0.161290323,0.7777777779999999,0.194444444,0.7777777779999999,0.194444444,0.7159090909999999,0.205721003,0.790909091,0.166889074
88,870713,2008.0,1,0.8,0.025,0.7444444440000001,0.03117284,0.975,0.025,0.9577464790000001,0.041046278,0.870967742,0.116129032,0.5555555560000001,0.27777777800000003,1.0,0.0,0.602272727,0.242293626,0.790909091,0.166889074
604,772091,2014.0,1,0.75,0.05625,0.8,0.06,0.9179999999999999,0.021956,0.894285714,0.024171428999999998,0.874761905,0.022063719,0.5,0.0625,0.625,0.234375,0.61733631,0.026900106,0.725753724,0.042023665
672,796981,2014.0,1,0.6625,0.02828125,0.725,0.018125,0.91,0.02074,0.882857143,0.019828571,0.8428571429999999,0.043011337999999996,0.78125,0.038085938,0.5,0.25,0.41949404799999995,0.061085579,0.8446992059999999,0.019233636999999998
655,407893,2014.0,1,0.9125,0.01890625,0.9,0.015,0.95,0.0145,0.942857143,0.020734693999999998,0.8971428570000001,0.039502041,0.9375,0.02734375,0.875,0.109375,0.533333333,0.06486926,0.788378877,0.023174527
